,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,DShareC vs CShareD
CR,4289.0,0.5738714425893414,1.0,0.6583447717428381,0.984957264957265,0.9935021100846465,0.6177777777777778,1.0,0.984957264957265,0.5738714425893414
MZ,2265.0,0.6441900908990597,1.0,0.6544587958549426,0.9986324786324786,0.9909300282427086,0.7032478632478633,1.0,0.9986324786324786,0.6441900908990597
TJ,4500.0,0.5963412636310571,1.0,0.652077287697492,0.987008547008547,0.9916225140654046,0.6464957264957265,1.0,0.987008547008547,0.5963412636310571
HU,23495.0,0.033846153846153845,1.0,0.6512820512820513,0.6355555555555555,0.989059829059829,0.13777777777777778,1.0,0.6355555555555555,0.033846153846153845
MA,19198.0,0.46324786324786327,1.0,0.6499145299145299,0.9377777777777778,0.9938461538461538,0.5165811965811966,1.0,0.9377777777777778,0.46324786324786327
EG,58816.0,0.1282051282051282,1.0,0.6485470085470085,0.7545299145299146,0.8646153846153846,0.5623931623931624,1.0,0.7545299145299146,0.1282051282051282
UG,5890.0,0.5585689659009204,1.0,0.645508763623791,0.9876923076923076,0.9836507202538937,0.6646153846153846,1.0,0.9876923076923076,0.5585689659009204
KZ,14122.0,0.36285911834761103,1.0,0.6371409401334583,0.9076923076923077,0.992818115516602,0.4222222222222222,1.0,0.9076923076923077,0.36285911834761103
GM,549.0,0.6252883699517477,1.0,0.6337918382647816,0.9988706945228685,0.9960395884000189,0.6623376623376623,1.0,0.9988706945228685,0.6252883699517477
LC,83.0,0.6314820189988279,1.0,0.6314820189988279,1.0,0.98755998565896,0.7087912087912088,1.0,1.0,0.6314820189988279
HT,194.0,0.6210046917204537,1.0,0.6210046917204537,1.0,0.9926198253344826,0.6617647058823529,1.0,1.0,0.6210046917204537
IE,24759.0,0.07692307692307693,1.0,0.6191452991452991,0.7606837606837606,0.984957264957265,0.18564102564102564,1.0,0.7606837606837606,0.07692307692307693
TZ,6269.0,0.5304377875185152,1.0,0.6149111166720118,0.9835897435897436,0.9798222187237564,0.6505982905982906,1.0,0.9835897435897436,0.5304377875185152
GW,172.0,0.6129570588314323,1.0,0.6129570588314323,1.0,0.9849224535069169,0.6862745098039216,1.0,1.0,0.6129570588314323
VE,3586.0,0.5743116883880486,1.0,0.6122798822004807,0.984957264957265,0.996408545726257,0.6273504273504273,1.0,0.984957264957265,0.5743116883880486
NG,39676.0,0.3545299145299145,1.0,0.6095726495726496,0.92,0.9603418803418804,0.5193162393162393,1.0,0.92,0.3545299145299145
CD,1892.0,0.5770023574974541,1.0,0.6067765004999918,0.9972649572649572,0.9945248225905111,0.6252991452991453,1.0,0.9972649572649572,0.5770023574974541
VN,25960.0,0.15831766345251116,1.0,0.6035219783880824,0.8413675213675214,0.9745255741677252,0.30393162393162393,1.0,0.8413675213675214,0.15831766345251116
LV,4607.0,0.459565744449622,1.0,0.5990767740146858,0.9801709401709402,0.9974354736306156,0.49196581196581196,1.0,0.9801709401709402,0.459565744449622
VA,68.0,0.5968483543484251,1.0,0.5968483543484251,1.0,0.9721393650372075,0.7142857142857143,1.0,1.0,0.5968483543484251
ET,16255.0,0.39145299145299145,1.0,0.5911111111111111,0.9535042735042735,0.9596581196581196,0.5658119658119658,1.0,0.9535042735042735,0.39145299145299145
AG,2025.0,0.5790185549973965,1.0,0.5894131700139722,0.9992307692307693,0.989028369540101,0.6630769230769231,1.0,0.9992307692307693,0.5790185549973965
GE,3253.0,0.5243316119304094,1.0,0.5843431537214174,0.9884615384615385,0.9982689163311905,0.5507692307692308,1.0,0.9884615384615385,0.5243316119304094
DO,1033.0,0.5802853313440602,1.0,0.584135930755766,0.9992307692307693,0.9934546482200899,0.6392307692307693,1.0,0.9992307692307693,0.5802853313440602
GP,371.0,0.5812628603192583,1.0,0.5812628603192583,1.0,0.99472291830968,0.6390977443609023,1.0,1.0,0.5812628603192583
NP,12253.0,0.3141880341880342,1.0,0.576068376068376,0.9206837606837607,0.9863247863247864,0.39623931623931624,1.0,0.9206837606837607,0.3141880341880342
MO,8774.0,0.4676923076923077,1.0,0.5715384615384616,0.9746153846153847,0.9953846153846154,0.51,1.0,0.9746153846153847,0.4676923076923077
