,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
FM,19.0,0.4562746866444688,0.9999999999999998,0.45629549364275795,0.999999999462721,0.9937858338534666,0.4821716598044553,0.9189598364653349,0.9999999994627209,0.4562746866444689,0.45627468664446896
EC,14627.0,0.3361820751758198,0.9999999999999999,0.45470806083344545,0.967674674951001,0.953691466909476,0.5082341912038617,0.9483990322833907,0.9676746749510011,0.3361820751758197,0.33618207517581983
DZ,11676.0,0.3827759804337791,1.0000000000000002,0.4537481120400609,0.9896413825676207,0.9333866749130768,0.5533723048200503,0.9103440796973602,0.9896413825676206,0.38277598043377936,0.38277598043377925
EG,50152.0,0.07961704336982682,0.9999999999999999,0.44993136007184664,0.8148417890402156,0.9191072592318447,0.36088615872364255,0.878324044844527,0.8148417890402154,0.07961704336982683,0.07961704336982689
NA,768.0,0.43075244689548603,1.0,0.4462064618350098,0.9992980667587846,0.9694348204721752,0.47467573130673324,0.9415913882533816,0.9992980667587849,0.430752446895486,0.430752446895486
BD,21755.0,0.19400409809561317,1.0000000000000002,0.44465509198229286,0.8943069179599266,0.9562549397727523,0.3537885590533148,0.9234444267487413,0.894306917959927,0.1940040980956128,0.19400409809561295
CZ,28500.0,0.2067298691386516,1.0,0.4444848506473881,0.8823611620387604,0.9521951409356657,0.3872521678328423,0.970459791835725,0.88236116203876,0.20672986913865146,0.2067298691386515
HN,654.0,0.43449172137254527,0.9999999999999998,0.4394267065507721,0.999949627922974,0.9599982185639186,0.5322042184566805,0.9684759503181661,0.999949627922974,0.43449172137254505,0.43449172137254494
TM,82.0,0.43296744962523626,1.0,0.43331069113600457,0.9999998629941386,0.9718497109496783,0.5128520696000759,0.9075044517569401,0.9999998629941385,0.4329674496252362,0.4329674496252362
GP,337.0,0.42667125057527755,1.0000000000000002,0.4325710104510142,0.9998795368471792,0.9661065405839471,0.48092882656637775,0.9025346390916271,0.9998795368471791,0.42667125057527727,0.4266712505752774
PS,2407.0,0.39664689911079426,1.0000000000000004,0.4264770696367648,0.9978828237150775,0.9399973660901567,0.4397228789010094,0.9420267250001945,0.9978828237150777,0.3966468991107942,0.39664689911079426
FO,183.0,0.4252986892394376,1.0,0.42598765544087525,0.9999994591050455,0.9762246491712921,0.5041036602856261,0.8426644385306279,0.9999994591050454,0.4252986892394376,0.42529868923943737
LU,3404.0,0.3788964805705769,1.0000000000000002,0.4163863365602434,0.9964590711297464,0.9582499183504224,0.5166710835491134,0.9685462003412696,0.9964590711297463,0.3788964805705768,0.3788964805705768
LK,5133.0,0.34184057905260645,1.0000000000000002,0.41140185961396053,0.9895745083259203,0.9560072998801539,0.44136603526924295,0.9545383773900311,0.98957450832592,0.34184057905260645,0.3418405790526064
NZ,17776.0,0.12872641957178835,1.0000000000000002,0.4103755724742388,0.7889349014381519,0.9501409569434072,0.23411896708623142,0.9642274708930364,0.7889349014381519,0.1287264195717884,0.12872641957178832
KH,2732.0,0.3792153829325995,1.0000000000000002,0.40898009171309385,0.998882724589722,0.9348870266739212,0.45681032182122827,0.9396692846502263,0.9988827245897219,0.37921538293259954,0.3792153829325995
QA,7365.0,0.299834898016191,0.9999999999999998,0.40885065677712923,0.9772107447690201,0.9523302738485176,0.3273226661696223,0.9415792861219203,0.9772107447690203,0.29983489801619095,0.2998348980161911
SZ,200.0,0.40475870468322733,1.0,0.40597354230867166,0.9999972925505962,0.9812086695662509,0.5069127482888359,0.9382963920110069,0.9999972925505963,0.4047587046832274,0.4047587046832272
CV,79.0,0.3997632412790689,0.9999999999999998,0.40012696418037486,0.9999998423470658,0.9841610236751578,0.4516511745997334,0.8924237158986063,0.999999842347066,0.39976324127906876,0.39976324127906876
PY,1563.0,0.3682565400798701,1.0,0.39856855421406884,0.997197665956611,0.9547206746810247,0.437396405243811,0.9444716486672858,0.9971976659566109,0.3682565400798699,0.36825654007986997
KY,84.0,0.39525832170291464,0.9999999999999998,0.396441820046055,0.9999979591949014,0.9810734074030281,0.3846696468506343,0.9467434197386383,0.9999979591949016,0.39525832170291464,0.3952583217029144
EE,4240.0,0.34057975479247093,0.9999999999999997,0.3957193118259248,0.9895601446318296,0.9635937096628374,0.4962782977618839,0.9710437143891478,0.9895601446318295,0.3405797547924709,0.34057975479247077
SA,67396.0,0.008201418979680266,1.0000000000000002,0.3944026455417624,0.7914042603897308,0.8957459145942371,0.384691195306736,0.8798544606679771,0.7914042603897306,0.008201418979680165,0.008201418979680068
