,Output,AI vs DShareC,AI vs CShareD,F-Measure vs DShareC,F-Measure vs CShareD,Geometric Aggregtion vs DShareC,Geometric Aggregtion vs CShareD,AI vs RSI,AI vs F-Measure,CShareD vs Output,DShareC vs CShareD
MOZAMBIQUE,559.0,0.46565548458898093,1.0000000000000002,0.47411880605789425,0.999617430922473,0.9561301586986494,0.6025219456665861,0.7982417491519179,0.9996174309224729,0.4656554845889812,0.465655484588981
VENEZUELA,551.0,0.46912071560187096,1.0,0.47627996320108273,0.9999165830137433,0.9716233926648553,0.5760538739656293,0.9406211931607716,0.9999165830137434,0.46912071560187096,0.46912071560187096
SYRIA,538.0,0.3638225964876955,1.0,0.41479088369626443,0.99647229704574,0.9522452024281992,0.375949015507731,0.9323243125482856,0.9964722970457399,0.3638225964876955,0.3638225964876955
BRUNEI,536.0,0.6329502017150247,1.0000000000000002,0.6465336868194617,0.9989778307694024,0.9579222122368882,0.7010971554606747,0.9422393649576064,0.9989778307694019,0.6329502017150249,0.6329502017150248
LIBYA,530.0,0.4793080084764985,1.0,0.5016494983797195,0.9975604655836741,0.9681973925781745,0.5490191777402291,0.9757194543551565,0.9975604655836743,0.47930800847649874,0.47930800847649874
MONTENEGRO,514.0,0.7428927943604924,0.9999999999999999,0.7451149340868737,0.999991212478687,0.9732057693801032,0.7556667194237127,0.9042445698306423,0.9999912124786873,0.7428927943604923,0.7428927943604924
COTE IVOIRE,495.0,0.48585286848942943,1.0000000000000002,0.498490862175052,0.9993670792401526,0.9708674469066163,0.5774300301860433,0.864303643794751,0.9993670792401524,0.4858528684894295,0.4858528684894295
AFGHANISTAN,474.0,0.04509770471301531,1.0,0.06739673636967476,0.9989476384464885,0.9585719575942333,0.12878265056981947,0.7979256480567025,0.9989476384464884,0.04509770471301526,0.04509770471301526
ALBANIA,450.0,0.32035496586069556,1.0000000000000002,0.33522142858080234,0.9990494711383041,0.9595898060449828,0.4271402677094021,0.9541024746643516,0.9990494711383041,0.3203549658606955,0.32035496586069545
CAMBODIA,419.0,0.46336230712883925,1.0000000000000004,0.46600801555738985,0.9999914292271417,0.9589141893860533,0.6163283170810948,0.8450927981870044,0.9999914292271413,0.46336230712883925,0.46336230712883936
NAMIBIA,389.0,0.5345394945361224,1.0,0.5485937481952702,0.9994948888967747,0.9822373060449765,0.6168320617456363,0.917150758335439,0.9994948888967748,0.5345394945361223,0.5345394945361225
BOLIVIA,381.0,0.7222327291623019,1.0,0.7236767764297664,0.9999946644985839,0.9683783280164938,0.7842245027412691,0.8864808240838833,0.9999946644985839,0.7222327291623017,0.7222327291623017
MYANMAR,366.0,0.3315286221001885,1.0,0.3629622407768778,0.9984909152369471,0.9837921047352233,0.3409829355733564,0.9118476148338904,0.9984909152369474,0.3315286221001884,0.3315286221001885
LAOS,363.0,0.47014508253231974,1.0000000000000002,0.47303044750834294,0.9999903307774498,0.9453174311199695,0.6588952154845779,0.8702628971601762,0.9999903307774495,0.4701450825323197,0.4701450825323198
MADAGASCAR,359.0,0.6814768989616333,0.9999999999999997,0.6999591710625518,0.9992341708728445,0.9682895462285757,0.7172232937056113,0.9069053311538205,0.9992341708728446,0.681476898961633,0.6814768989616332
KOSOVO,347.0,0.2692389267257954,0.9999999999999999,0.2820095646174898,0.9994006960474064,0.9654392644524019,0.3919223138411515,0.9191288920684223,0.9994006960474062,0.2692389267257954,0.26923892672579536
KYRGYZSTAN,335.0,0.3488164909665315,0.9999999999999999,0.3630150447209322,0.9992609893210036,0.9642733161605685,0.44282005383383694,0.9629700752041931,0.9992609893210037,0.3488164909665316,0.3488164909665316
DOMINICAN REPUBLIC,309.0,0.28622150128349944,0.9999999999999998,0.2950831877955564,0.9995673772834839,0.9464568311346485,0.40557134450187543,0.8971893201483577,0.9995673772834839,0.2862215012834992,0.28622150128349927
GUATEMALA,300.0,0.3404117313376413,0.9999999999999999,0.3585233220116824,0.9990866999296865,0.9538775027889053,0.4667629545424608,0.8912288306553787,0.9990866999296865,0.34041173133764135,0.3404117313376413
MOLDOVA,290.0,0.5166885133509229,1.0000000000000002,0.5193807616758359,0.9999908848174228,0.9732786462067479,0.585614635746299,0.9197531528389083,0.9999908848174225,0.5166885133509228,0.5166885133509229
MALI,286.0,0.43653724855484927,0.9999999999999996,0.44419523112807713,0.9997063101141422,0.9551833174077804,0.5686286826086634,0.8131854114891588,0.9997063101141423,0.43653724855484927,0.43653724855484927
